Group.1	1-Abd	1-FH	1-UB	1-AC	2-AC	2-FH	2-PC	2-UB	3-AC	3-Abd	3-FH	3-PC	3-UB	4-AC	4-FA	4-FH	4-PC	4-UB	5-AC	5-FA	5-FH	5-PC	5-UB	6-AC	6-FH	6-PC	6-UB	7-FA	7-FH	7-PC	7-UB	8-AC	8-Abd	8-FA	8-FH	8-PC	8-UB	9-AC	9-FH	9-PC	10-Abd	10-FA	10-FH	10-UB	11-AC	11-FA	11-FH	11-PC	11-UB
Shigella flexneri	0.5	0	0	12	291	1	83	4	59	14	0	22	1	260	20	3	18	2	7	49	1	23	2	13	2	15	10	0	0	57	2	0	5	7	0	18	1	7	2656	5	289	52	1	0	0	1	0	7	0
Prevotella copri	1	5	2.5	4	20	1	43	5	116	3	0	0	0	190	168	7	108	0	203	577	12	3300	12	52	3	34	1	10	0	0	0	39	43	62	15	139	57	13957	0	410	0	58	1	7	0	7	0	5	1
Staphylococcus sp. DORA_6_22	0.5	0.5	0	12	0	56	8	24	0	52	5	84	1	59	19	7	1	0	10	7	11	19	1	22	71	6	3	16	1	2	2	0	3	6	28	14	17	21	0	24	0	7	42	1	0	0	2	4	2
Tissierellia bacterium S7-1-4	5.5	2.5	1.5	0	116	6	5484	11	94	22	0	229	0	103	202	2	49	4	2	8	1	17	0	7	1	34	0	15	0	43	0	60	376	280	24	8041	177	9	0	43	3	28	2	1	0	3	0	63	1
Lactobacillus delbrueckii	13.5	31.5	2.5	37	45	0	7	0	35	0	0	0	0	135	266	8	523	2	13	17	0	85	0	47	0	45	0	750	38	257	16	230	1472	1381	2265	674	442	1	0	5	0	308	2	1	1	2	1	1	0
Peptoniphilus lacrimalis	6	4	1.5	0	56	0	787	8	2	27	1	237	1	111	227	2	73	0	15	20	0	104	0	25	0	2	1	49	2	140	0	69	313	278	29	11219	194	9	0	48	405	0	5	1	0	11	1	269	4
Bifidobacterium breve	0	0.5	5	8	0	2	12	3	0	8	1	20	2	24	26	2	4	0	17	14	2	5	0	0	4	2	0	11	0	147	0	0	23	2	1	24	6	169	1	25	0	18	1	0	10	285	11	10171	48
Shigella dysenteriae	0	1	0	22	69	0	34	7	47	20	0	42	0	182	20	0	12	0	2	31	2	26	0	3	0	3	2	33	0	2	1	2	2	1	1	11	3	2	471	1	217	81	2	1	0	2	3	5	1
Staphylococcus sp. HMSC062B11	0	8.5	0	75	10	27	9	16	0	2	2	40	2	53	11	0	11	1	2	5	3	13	1	18	14	1	0	5	8	2	0	5	3	5	23	0	5	36	0	18	0	0	33	3	0	3	0	8	1
Facklamia hominis	1.5	0	0.5	2	96	0	309	5	18	10	0	14	2	139	193	1	31	6	0	7	0	2	0	0	3	8	0	82	4	441	2	42	190	211	22	6743	223	0	0	30	41	43	1	1	0	4	0	8	0
Peptoniphilus sp. oral taxon 375	5	4	0	5	8	1	612	0	3	0	0	25	0	42	109	1	18	0	3	27	0	75	0	0	0	8	0	7	0	0	1	35	183	191	6	4224	99	4	0	15	62	0	1	4	0	2	0	35	0
Lactobacillus iners	84.5	73.5	14.5	21	15	1	8	1	58	7	0	45	0	2	7	0	0	0	0	30	0	4	0	13	2	0	0	14	1	0	0	3	268	4	6	36	3	0	229	2	0	0	0	0	9	222	5	293	43
Kallipyga massiliensis	3.5	1	1	0	79	0	199	2	41	0	0	28	0	322	714	2	80	11	0	7	0	92	0	0	0	0	0	20	0	20	0	215	759	860	46	26516	507	11	1	35	0	1	1	0	1	0	0	14	2
Arcanobacterium haemolyticum	1	0	0	2	0	2	18	0	0	3	0	8	0	28	15	4	8	0	1	4	0	12	0	62	1	17	0	0	0	0	0	3	2	21	4	50	11	226	0	508	1828	1	8	6	0	2	0	19	0
Actinomyces neuii	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	3	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	56	3	51	72	0	1	2	0	0	0	27	1
Actinomyces sp. HMSC08A01	1	0.5	2	1	0	0	6	0	0	5	0	27	0	13	6	0	6	0	0	2	0	7	0	0	0	0	0	12	0	0	0	3	1	3	1	72	1	39	0	27	127	14	1	1	0	0	0	14	0
