Group.1	1-AC-PMA	1-Abd-PMA	1-Abd	1-FH-PMA	1-FH	1-UB-PMA	1-UB	1-AC	2-AC-PMA	2-AC	2-FH-PMA	2-FH	2-PC-PMA	2-PC	2-UB-PMA	2-UB	3-AC-PMA	3-AC	3-Abd-PMA	3-Abd	3-FH-PMA	3-FH	3-PC-PMA	3-PC	3-UB-PMA	3-UB	4-AC-PMA	4-AC	4-FA-PMA	4-FA	4-FH-PMA	4-FH	4-PC-PMA	4-PC	4-UB-PMA	4-UB	5-AC-PMA	5-AC	5-FA-PMA	5-FA	5-FH-PMA	5-FH	5-PC-PMA	5-PC	5-UB-PMA	5-UB	6-AC-PMA	6-AC	6-FH-PMA	6-FH	6-PC-PMA	6-PC	6-UB-PMA	6-UB	7-FA-PMA	7-FA	7-FH-PMA	7-FH	7-PC-PMA	7-PC	7-UB-PMA	7-UB	8-AC-PMA	8-AC	8-Abd-PMA	8-Abd	8-FA-PMA	8-FA	8-FH-PMA	8-FH	8-PC-PMA	8-PC	8-UB-PMA	8-UB	9-AC-PMA	9-AC	9-FH-PMA	9-FH	9-PC-PMA	9-PC	10-Abd-PMA	10-Abd	10-FA-PMA	10-FA	10-FH-PMA	10-FH	10-UB-PMA	10-UB	11-AC-PMA	11-AC	11-FA-PMA	11-FA	11-FH-PMA	11-FH	11-PC-PMA	11-PC	11-UB-PMA	11-UB
Corynebacterium jeikeium	165.5	111.5	150	67.5	101.5	7.5	22.5	196	262	216	15	21	44	73	172	68	2	6	4913	4540	20	102	10357	13709	32	71	1314	271	254	397	34	12	306	96	0	2	114	432	680	892	145	456	2456	1923	57	5	1081	1314	55	119	1570	2178	25	17	5681	7168	61	100	5087	34883	450	200	34	56	180	137	257	178	7	36	614	598	68	114	1963	4032	331	231	5039	6523	62	512	125	65	161	174	14	53	0	2	42	22	1	6	62	118	79	209
Streptococcus thermophilus	353	21	26	113.5	111	24	15.5	99	285	209	8	17	0	38	122	43	194	803	158	60	2	9	256	187	2	2	1059	1039	746	1039	195	99	957	229	1	1	174	446	854	859	21	14	813	1315	61	9	840	499	194	186	1091	464	28	12	1931	1226	29	81	421	907	108	24	334	366	9515	4864	6087	3323	1338	4897	880	865	1105	1475	85	160	9	2633	698	182	219	154	702	240	32	42	61	27	7	0	44	28	0	2	8	5	3	1
Actinomyces odontolyticus	249	35	5.5	21.5	35.5	11.5	19	52	648	2190	62	134	754	44	1414	1202	3782	2568	2840	374	2	7	769	328	0	0	2141	1726	999	1635	1503	1480	590	175	0	11	95	237	270	286	6	15	632	106	26	4	1230	549	103	193	199	184	15	0	702	724	19	27	577	64	43	12	118	66	293	281	530	244	17	95	235	130	105	212	868	2455	1	748	215	182	141	106	159	64	23	25	19	18	3	1	108	142	2	13	134	14	2	5
Paracoccus sphaerophysae	248	36	43.5	36	27.5	23.5	12.5	31	605	309	9	7	358	62	57	48	0	483	26	313	5	8	386	425	6	13	381	396	198	237	42	18	199	115	18	7	417	1355	1307	1420	13	16	4143	2983	192	39	488	386	17	26	237	220	20	1	159	107	15	7	79	169	192	18	102	58	195	109	317	95	16	44	344	116	115	251	162	25	25	810	2767	943	120	4899	331	1228	308	326	498	847	65	37	921	889	9	7	230	513	32	87
Streptococcus sanguinis	153	8.5	13	17.5	39	15.5	2.5	19	1472	1295	84	167	114	72	2487	1766	2	579	83	145	0	8	374	95	0	1	584	525	308	444	477	210	218	63	0	12	245	1120	6938	9476	39	51	796	590	282	79	2935	1904	1009	981	1749	1183	97	28	1500	1331	50	108	388	333	90	34	26	55	383	340	574	276	83	375	179	134	176	213	282	775	4	104	110	104	16	0	42	119	17	38	20	21	7	1	92	64	0	3	18	23	7	3
Sphingomonas sp. Ag1	221	31.5	6.5	5.5	5.5	15	4.5	30	1694	2582	20	10	646	191	689	119	2088	2464	2801	328	2	2	3018	870	3	1	4286	7042	2462	3538	188	70	3546	1096	206	123	290	378	473	269	3	4	1392	523	32	4	1423	286	28	19	1009	151	18	0	1147	334	7	4	771	427	91	7	1292	1023	3722	2905	4801	2812	59	187	2388	1979	1784	3820	455	98	27	717	1872	997	782	423	965	782	33	32	46	93	10	5	72	43	0	4	52	60	3	2
Staphylococcus haemolyticus	90	1	8	44	27.5	8	12.5	45	244	298	43	34	105	94	168	75	1	102	741	1970	47	55	5394	9178	26	40	411	892	170	429	69	21	534	98	33	6	65	321	221	279	8	9	2695	2147	74	10	1137	1028	331	170	1828	2198	33	4	287	261	9	16	208	354	38	13	56	63	429	128	337	169	19	66	1802	3465	181	229	886	1579	7	38	1854	2011	255	3130	494	489	274	160	247	152	2	2	55	28	6	0	208	171	13	8
Kocuria rhizophila	44	15	4	3.5	2.5	8.5	9	17	172	1176	7	14	495	51	111	27	8	363	2	120	0	1	1209	239	0	0	1103	744	442	667	45	26	944	171	1	10	2318	12123	12932	19145	1378	3320	15765	14925	1887	403	1428	1771	80	145	716	912	39	12	267	102	2	6	6	16	13	9	113	102	250	167	445	178	2	17	259	224	198	364	296	304	2	260	840	547	566	5696	940	2703	196	263	443	703	8	0	50	26	2	1	26	55	4	10
Brevibacterium casei	68.5	8	8.5	2	8.5	5.5	7	18	403	901	38	72	383	68	926	771	4	2861	1	62	1	0	339	118	0	1	5414	12000	3315	5675	306	207	8044	2356	36	86	305	1341	2167	2482	53	114	3336	3045	266	55	825	1012	45	44	455	366	20	5	1516	1755	3	7	1100	6467	56	38	2101	2290	1813	1769	7958	4612	88	273	3070	2749	947	2643	1063	2048	4	71	9197	7236	48	384	888	551	11	20	11	25	56	20	543	509	1	5	136	232	9	29
Streptococcus infantis	164.5	4	7.5	30.5	61.5	3.5	0.5	31	500	282	44	81	490	34	273	160	636	660	456	375	0	6	165	269	6	0	1162	846	573	669	1321	546	531	115	0	5	100	743	1036	964	19	20	272	194	75	8	1017	363	312	157	1028	269	29	3	1574	1266	54	89	213	402	127	27	69	76	688	387	550	300	112	382	317	286	210	370	580	719	8	188	154	76	101	87	8	75	20	17	53	31	1	2	80	54	3	1	110	14	2	3
