Taxa	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	3-FH	3-UB	3-AC	3-PC	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	5-FH	5-UB	5-AC	5-PC	5-FA	6-FH	6-UB	6-AC	6-PC	7-FH	7-UB	7-PC	7-FA	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-AC	9-PC	10-FH	10-UB	10-FA	10-Abd	11-FH	11-UB	11-PC	11-FA	12-FH	12-UB	12-AC	12-Abd
SMGC_203	7.96725122466063e-05	0.000200784434049349	0.000127655681131735	0	0	0	0.000799166027762806	1.35938143730891e-06	5.90527168930905e-06	0.000209804831890334	0	2.11924667510045e-05	0	0.00015367804310462	0.000694351730391501	0	0.000235932990091804	1.46827929072871e-05	4.88256063203103e-05	0.000101734977363106	0.000140430514932152	3.9997978610363e-05	7.32554465010579e-06	0	0.000277613859593213	5.74128087267469e-05	4.7157988523581e-05	8.97707631977242e-05	0.000982221641498737	0	0	0	5.64735384857904e-05	0.00659161665822769	2.18532929220899e-07	5.9130614952934e-05	0	0	7.64424319720178e-06	4.75459801287956e-05	7.94034792959921e-05	0	9.92320150832663e-05	0	0	0.000603051240111808	1.71009633050503e-05	0.000120222068646383	8.51898888963503e-05	6.39093312429139e-06	7.5633010966394e-05
SMGC_204	1.24415728938199e-05	6.40618948668557e-06	5.90882999559992e-05	4.68650210820472e-06	0	2.77930384339575e-05	0.00197178028846465	2.68309127374206e-06	6.91234913680279e-07	0	0	0	5.92018338850876e-06	0	0.00021028920851385	3.69164463471852e-05	0	2.09850083100633e-06	6.83693189373555e-07	1.15837463999503e-05	4.95316494484048e-05	0	0	0	0	0	4.16491900650734e-06	0	0.00053039659697915	0	0	0	7.81335555331658e-05	0.00254410385243379	3.67005666425501e-05	0	0.000434615260348628	0	0	1.90242291740544e-07	0	2.18536733510455e-05	0	3.88884878997664e-06	3.1950508383388e-05	0.00297387519074459	2.16553756456738e-05	1.79246216322373e-05	0	1.67224902619175e-05	2.81876074509637e-05
SMGC_209	9.42911829917741e-06	8.88062261224637e-06	1.25462530884585e-05	1.1445660117505e-05	0	0.00709332012236137	0.000839820457046701	3.43578415862734e-06	9.89249352681216e-06	0	0	0	1.32669598598715e-05	8.95418925890233e-05	0.000280410433514609	0.00039560103716619	0	7.76614162933557e-06	2.07989991982978e-06	9.9127859483545e-05	0.000203552713609606	3.45979687730416e-05	0	0	0	0	9.76085862401257e-06	0	0	0	0	0	0	0	0	0	0.000981050083863755	0	0	2.6270643498647e-06	1.02382621597866e-05	0.000103839998358332	0	0	4.3395131550881e-06	0.000130798897730098	0	5.04221282874502e-06	4.30002695512276e-06	0	0
SMGC_212	5.2305857475066e-05	1.53255346531749e-06	7.55403054985236e-05	1.04417936275077e-06	0	0.000438909443941062	0	3.54934299447957e-05	1.1176125584216e-05	0	0	0.000439415139517244	2.40224853721187e-06	0	0	0	5.21505661823102e-05	6.14229656175395e-05	8.76386480053321e-06	0.000357300093361214	0.000330796931596083	0.000589480991005947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144834792100206	0	0	3.44019533468379e-06	0	0	0	0.000349992553994683	0.000650452736835838	0.000624684012953504	0.0038743737471454	6.3743402178396e-05	0	0.000112819922779906	5.19281372578929e-05
SMGC_213	0.00196631591578501	0	0.000353833455482596	0	0	0	0	0.000430074335259285	0.00141392624608503	0.00147034686781091	0	0	0	0.00219422853093719	6.15087695898728e-05	1.60844339545105e-06	0	0	0.0012675667795389	0.000590127449449598	0.000151201952228007	0	0	0	0	0	0.000427296094586195	0	0	0	0.00640384138490623	0	4.2388325704932e-05	0	0.000497439230565793	0	0.0126507339807624	0	0	0.00124446195960886	0.00159377619988058	0.000228997232784052	0.00127661821664415	0	0.00127782645155797	0	0	9.00990470950776e-06	0	0	0.000355058842624294
SMGC_218	0.00537832735678931	0.00197071807439842	0.000126216143362775	0.00102382531870973	0	0	0	0.00226966966761472	0.000181148349839836	0.0673981961900361	0	0	0.00349446803528247	0.0080325969686243	0.0562769170927922	0.00211295485936164	0	0.0104909364286358	0.00379316099001656	0.0505813729025308	0.0106908538658847	0.0498689654158898	0	0	0	0	0.00424629489778355	0	0	0	0.0118208177151282	0	0.00203755160864185	0	0.000308961050117615	0	0.0386447319979274	0	0	0.000785307066684017	0	0	0	0.0966118433448446	0.00907918286904929	0.00244299498561174	0.00803633992052194	0.00276655521302333	0.000552484133743427	0.00087095680180235	0.000617773969284463
SMGC_219	0.000199215092102729	1.50823244209159e-05	5.13934702164053e-05	4.74581325410191e-05	0	0	0	0.000128801626545877	0.000644269236064303	0	0	0	0	0.000172496772216583	0.00256713036907954	6.81035825610046e-06	0	0.000215664349080298	2.12229182479557e-05	0.000135598994260851	0	0	0	0.000774577244439566	0	0	0.00605733628157797	0	0	0	0.000164525102086273	0	0	0	0	0	0.029916891042487	0	0	0	0	0	0	5.57590470039881e-05	5.05727059097708e-05	9.60751940310346e-05	4.69205508514953e-05	0.000146964259439709	2.3861395390166e-05	0	2.41821703262955e-05
SMGC_221	2.37346793594469e-05	0.00015705612712561	1.29549088360392e-05	0.000167312189356268	0	0.0399546839312802	0	0.000713655040926881	0.000599361084474675	0.0280212475680217	0	0.0764632861663125	0.000749921874050199	0.00045703999419025	0.00336391968008677	0.0089195194658815	0.00804358604623509	0.000755875687017102	0	0.0446375591218044	0.0510188681508392	0.0524870996093682	0.0779313223339418	0.000771980114891789	0.924311100970495	0.448604204501713	4.68697182118916e-05	0	0	0	2.39770619795475e-05	0.00220851598527737	0.000553726620396624	0	0.00351053014407955	0	0.0795627786835593	0.448907541752621	0.442315162218452	0.00115184135734401	0.00254188007421743	0	0.0168178167252993	0.000800738921680459	0.00202297944646255	0.00763226829241153	0.000694095117303284	0	0.000199148971043104	0.00122487548104496	0.000357846870518513
SMGC_226	0.00191432213898269	0.000400552847862258	0.000137613842518708	0	0	0	0	0	0	0.00199812844812419	0	0.00251095295332354	0	0.000100839560706535	0	0.000226104524329372	0	0.000306633804554026	0	0	0	0	0	0	0	0	0	0	0.001344052986741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018850016321873	0	0.000736107733928111	0	0.000905847996695101	0.000684345565799046
SMGC_23	3.94680852573052e-05	6.72863295178845e-06	0.000100106428618675	5.92030038083859e-07	0	0.000661272033949501	0.000140790019025538	3.11484683039605e-07	0	0	0	0	0	6.34897032298448e-06	0	1.44467242094471e-05	0	1.07602699229053e-05	0	9.36118245417491e-05	0.000571610735522787	0.000338873997998223	1.84026922212769e-06	0	0	0	8.05302623196869e-06	0	0.000712882771728959	0	0	0	1.36302381311397e-05	0	0	0	0.00132694633509506	0	0	2.40778260626677e-07	1.16159561490066e-05	0	0	1.37297869864896e-05	1.38715043758754e-05	0.000563590949362533	0	2.19693495363672e-05	3.94322883944663e-06	0.000177286644219672	6.09112128419343e-05
