"#OTU ID"	"1-FH"	"1-FH-PMA"	"1-UB"	"1-UB-PMA"	"1-AC-PMA"	"1-PC-PMA"	"1-Abd"	"1-Abd-PMA"	"2-FH"	"2-FH-PMA"	"2-UB"	"2-UB-PMA"	"2-AC"	"2-AC-PMA"	"2-PC"	"2-PC-PMA"	"2-FA"	"2-Abd-PMA"	"3-FH"	"3-FH-PMA"	"3-UB"	"3-UB-PMA"	"3-AC"	"3-AC-PMA"	"3-PC"	"3-PC-PMA"	"3-FA"	"3-Abd"	"3-Abd-PMA"	"4-FH"	"4-FH-PMA"	"4-UB"	"4-UB-PMA"	"4-AC"	"4-AC-PMA"	"4-PC"	"4-PC-PMA"	"4-FA"	"4-FA-PMA"	"4-Abd"	"5-FH"	"5-FH-PMA"	"5-UB"	"5-UB-PMA"	"5-AC"	"5-AC-PMA"	"5-PC"	"5-PC-PMA"	"5-FA"	"5-FA-PMA"	"5-Abd"	"6-FH"	"6-FH-PMA"	"6-UB"	"6-UB-PMA"	"6-AC"	"6-AC-PMA"	"6-PC"	"6-PC-PMA"	"6-FA"	"6-Abd"	"7-FH"	"7-FH-PMA"	"7-UB"	"7-UB-PMA"	"7-AC"	"7-PC"	"7-PC-PMA"	"7-FA"	"7-FA-PMA"	"7-Abd"	"8-FH"	"8-FH-PMA"	"8-UB"	"8-UB-PMA"	"8-AC"	"8-AC-PMA"	"8-PC"	"8-PC-PMA"	"8-FA"	"8-FA-PMA"	"8-Abd"	"8-Abd-PMA"	"9-FH"	"9-FH-PMA"	"9-UB"	"9-AC"	"9-AC-PMA"	"9-PC"	"9-PC-PMA"	"9-FA"	"9-Abd"	"10-FH"	"10-FH-PMA"	"10-UB"	"10-UB-PMA"	"10-AC"	"10-PC"	"10-FA"	"10-FA-PMA"	"10-Abd"	"10-Abd-PMA"	"11-FH"	"11-FH-PMA"	"11-UB"	"11-UB-PMA"	"11-AC"	"11-AC-PMA"	"11-PC"	"11-PC-PMA"	"11-FA"	"11-FA-PMA"	"11-Abd"	"12-FH"	"12-FH-PMA"	"12-UB"	"12-UB-PMA"	"12-AC"	"12-AC-PMA"	"12-PC-PMA"	"12-FA-PMA"	"12-Abd"	"12-Abd-PMA"
"SMGC_33"	60	40	78	66	418	2168	37	115	34	46	116	300	571	546	261	710	700	569	126	51	137	78	136	12	66674	43677	9760	13614	13040	60	227	50	68	1677	1347	414	1186	875	588	4896	38	38	16	210	946	275	1757	1442	1353	1136	2573	246	175	2	68	2142	2316	3066	3078	1341	1452	69	90	55	202	916	8255	807	1599	1086	942	95	61	186	146	64	114	597	216	284	402	99	123	9	50	90	13988	3628	18837	15640	13675	20321	175	156	202	213	2042	9931	899	384	4184	244	10	25	31	52	2	5	234	337	60	74	11	76	76	23	62	124	108	3543	562	67	32
"SMGC_332"	37526	21637	3558	1721	15456	21950	752	1178	1429	997	7656	12763	13834	23321	1971	10040	12367	8949	1417	443	547	303	28979	2065	91573	87478	54119	32734	25164	85566	135080	4870	3429	70968	52417	7723	32744	132499	95026	494906	16157	7493	6253	30067	32872	11246	29952	48823	127252	102308	93560	96972	73865	1141	4294	99125	131162	48403	63356	118952	48919	85482	44999	19153	41463	79520	63208	11721	126942	111660	70757	203242	40702	123110	61177	12675	11669	18376	23841	42110	86861	29575	44698	30851	7376	38486	143272	102528	162946	177993	187829	200743	262218	257986	9059	7760	28986	58232	10476	25902	41831	8940	30171	13325	5084	1490	596	914	4310	4470	18947	21835	2412	67492	48245	2683	1753	4144	2838	34799	18943	637	217
"SMGC_334"	1129	1191	603	641	3177	1937	468	1534	1327	1833	790	1828	924	995	182	742	2276	982	554	470	655	560	2645	1708	865	1613	661	1585	1957	1999	5244	849	1840	3938	2967	354	1715	3617	2654	8260	898	990	396	3607	3099	1496	958	1662	7473	7803	4125	661	1477	27	74	1798	2378	835	2611	2571	919	1283	1686	936	2934	7210	1726	1118	6290	8206	6593	4196	1483	2271	1597	422	470	1266	943	1917	3906	1986	3339	926	422	1000	1244	1157	283	605	983	2194	1072	2254	649	826	562	236	292	504	438	194	300	513	202	149	10	57	192	172	361	496	97	675	917	229	369	707	1146	1723	1299	447	717
"SMGC_336"	227	164	34	59	1533	1344	50	68	450	358	572	1395	2268	1412	205	2174	2302	2141	22	14	26	12	4794	4377	676	1660	730	761	1929	2328	5658	56	62	5651	4220	606	2646	4989	3730	13833	105	72	42	272	2468	835	926	2342	9797	10001	3551	1045	4051	36	159	3108	5250	2093	6381	4816	1969	660	491	257	826	12064	3024	2404	11679	15327	10161	4052	1192	3264	2712	775	719	1217	1518	3674	7071	3397	7393	766	52	11	2063	3510	511	1354	1873	4092	48	62	75	162	766	455	528	716	280	240	16	8	26	6	16	26	120	287	430	621	59	74	76	11	10	129	198	883	907	55	25
"SMGC_337"	949	610	302	170	5662	47257	1336	1430	219	144	463	936	2095	3086	1042	3335	3805	2872	716	117	112	68	2481	28	33894	33496	13771	10445	7602	662	1383	176	178	5715	4952	1264	5968	8513	6807	43555	7077	3786	148	1032	8083	2375	12507	15390	15337	13824	30430	3512	2491	87	438	12896	16492	27549	23956	9075	10985	501	443	241	806	3312	7727	2636	8093	9325	7547	1287	433	3189	1619	1834	1871	20596	18481	6440	12729	4930	7063	1686	462	221	35920	16099	45935	56304	41987	52050	4452	5260	672	716	2427	13873	923	1503	9794	1393	104	59	120	48	39	62	3155	3222	810	1134	166	3673	3036	172	119	4530	3321	160746	13284	1144	396
"SMGC_338"	157	97	135	132	986	5794	310	378	66	50	468	779	5750	3750	7023	11338	7354	16713	10	36	21	22	962	38	808	3012	399	436	626	92	231	133	85	2938	2588	1226	5788	7328	4907	24244	25	20	20	215	1096	610	4508	6835	2346	2267	5445	140	94	20	17	1438	3130	2571	3989	975	563	66	87	103	398	1268	13167	1996	3266	3414	4994	1121	294	6837	2812	4516	4570	279646	277020	18966	38323	17771	20982	2862	36	107	2133	3098	4015	6813	5195	7784	48	82	110	78	980	2104	234	508	731	1110	57	24	351	98	114	218	12340	5554	2238	2950	446	135	130	25	55	287	187	19197	1335	144	67
"SMGC_340"	610	501	568	1205	48662	83551	614	2824	732	636	2119	177065	112811	285284	33848	75118	13680	61652	407	86	32	59	40112	8821	13010	208621	1871	14213	23901	533	2983	240	6370	129779	98984	7691	1060796	7305	16353	25711	522	704	426	5081	10624	22716	13231	663400	25054	113734	113793	399	685	802	6231	2157	97356	2195	31639	1205	8818	382	120	408	80822	4204	8905	29605	3566	32709	3516	397	190	700	9229	741	17794	7941	43163	1028	17368	3444	29502	1075247	8175	192	6617	104004	3070	103481	13145	14554	250	2894	1734	23227	264642	68888	44268	416672	230749	174168	110	146	211	1014	86	975	2708	4210	998	4999	296	461	344	122	250	5761	1912	101758	11878	268	256
"SMGC_343"	6419	3773	1342	786	25778	96073	3428	3954	5290	2708	5651	9821	14097	39847	5493	12401	36037	18472	7789	949	373	280	17877	235	88089	87558	51725	29208	23948	7976	13945	1577	1597	50581	40120	8486	39266	85999	58447	337100	244244	103366	2652	12406	116766	31180	74382	94405	204915	166010	335130	39829	25606	937	3153	117363	133100	238567	167496	80496	94661	10404	6800	3906	9753	51868	93681	19385	130829	117986	129476	15484	4149	22357	10651	9792	9235	25097	29242	46613	90679	30190	38712	37474	4319	914	86224	59320	106592	120914	112194	138609	39747	42715	4032	3336	15763	47309	3967	21197	27740	9256	2443	764	1045	429	307	572	28202	24841	8996	9986	1892	32808	25171	822	709	15013	8218	235985	53176	4007	1490
"SMGC_345"	7500741	9629049	9381104	7696654	19759767	6245532	7377363	23002703	5834678	5723144	6757644	9469647	1135400	2897367	128188	505156	2501972	1690302	4753209	4680563	4584825	5507003	2211664	120782	5188199	5024208	4781641	11712953	10943993	7834608	18876101	7908857	16294262	6198549	5983371	301463	1228876	7452770	4851322	19238139	6442064	6819585	3412780	23959865	27573309	14441311	5930850	11571806	16180443	17909912	26003378	7293751	4208618	551589	1544130	8345829	8442809	1397349	1874964	5536141	1473913	6808074	10015463	9114421	21800003	10168196	5245483	1223100	12607311	10901591	20998676	21385228	7013992	7730376	3475534	897060	920146	984433	1290010	3847819	7868247	3209650	4189151	931165	4014144	9998423	2085504	2088663	767323	1111264	2556188	1588326	5466180	6516248	8040031	6026022	1420264	709240	343197	1084261	1658393	714436	4906621	5188396	4899868	5398665	134092	603899	220182	228278	1479873	1841552	1079292	6486391	7182685	3021508	2907374	6048519	8216105	8193620	9765231	3985190	6823040
"SMGC_35"	22	36	47	17	459	1250	27	74	52	32	234	352	2256	252	566	518	1283	1308	354	95	302	184	297	34	159172	79325	38085	41662	42857	46	94	16	8	576	555	150	675	929	673	2272	39	20	21	146	770	332	2743	3362	1664	1487	3654	1989	1238	143	495	16224	16357	36306	29655	12010	17079	14	34	22	132	186	1634	814	536	1316	666	85	33	240	160	61	110	2840	2802	311	728	198	388	1002	38	113	18392	6031	27318	26853	19519	23937	97	94	114	120	58	5338	287	2002	2530	282	17	9	22	36	6	12	215	205	76	170	30	80	99	18	19	129	125	3454	609	60	38
