#FeatureID	1-AC-PMA_filtered	1-Abd-PMA_filtered	1-Abd_filtered	1-FH-PMA_filtered	1-FH_filtered	1-PC-PMA_filtered	1-UB-PMA_filtered	1-UB_filtered	10-AC_filtered	10-Abd_PMA_filtered	10-Abd_filtered	10-FA_PMA_filtered	10-FA_filtered	10-FH_PMA_filtered	10-FH_filtered	10-PC_filtered	10-UB_PMA_filtered	10-UB_filtered	11-AC_PMA_filtered	11-AC_filtered	11-Abd_filtered	11-FA_PMA_filtered	11-FA_filtered	11-FH_PMA_filtered	11-FH_filtered	11-PC_PMA_filtered	11-PC_filtered	11-UB_PMA_filtered	11-UB_filtered	1bis-AC-PMA_filtered	1bis-AC_filtered	1bis-Abd-PMA_filtered	1bis-Abd_filtered	1bis-FA-PMA_filtered	1bis-FH-PMA_filtered	1bis-FH_filtered	1bis-PC-PMA_filtered	1bis-UB-PMA_filtered	1bis-UB_filtered	2-AC-PMA_filtered	2-AC_filtered	2-Abd-PMA_filtered	2-FA_filtered	2-FH-PMA_filtered	2-FH_filtered	2-PC-PMA_filtered	2-PC_filtered	2-UB-PMA_filtered	2-UB_filtered	3-AC-PMA_filtered	3-AC_filtered	3-Abd-PMA_filtered	3-Abd_filtered	3-FA_filtered	3-FH-PMA_filtered	3-FH_filtered	3-PC-PMA_filtered	3-PC_filtered	3-UB-PMA_filtered	3-UB_filtered	4-AC-PMA_filtered	4-AC_filtered	4-Abd_filtered	4-FA-PMA_filtered	4-FA_filtered	4-FH-PMA_filtered	4-FH_filtered	4-PC-PMA_filtered	4-PC_filtered	4-UB-PMA_filtered	4-UB_filtered	5-AC-PMA_filtered	5-AC_filtered	5-Abd_filtered	5-FA-PMA_filtered	5-FA_filtered	5-FH-PMA_filtered	5-FH_filtered	5-PC-PMA_filtered	5-PC_filtered	5-UB-PMA_filtered	5-UB_filtered	6-AC-PMA_filtered	6-AC_filtered	6-Abd_filtered	6-FA_filtered	6-FH-PMA_filtered	6-FH_filtered	6-PC-PMA_filtered	6-PC_filtered	6-UB-PMA_filtered	6-UB_filtered	7-AC_filtered	7-Abd_filtered	7-FA-PMA_filtered	7-FA_filtered	7-FH-PMA_filtered	7-FH_filtered	7-PC-PMA_filtered	7-PC_filtered	7-UB-PMA_filtered	7-UB_filtered	8-AC_PMA_filtered	8-AC_filtered	8-Abd_PMA_filtered	8-Abd_filtered	8-FA_PMA_filtered	8-FA_filtered	8-FH_PMA_filtered	8-FH_filtered	8-PC_PMA_filtered	8-PC_filtered	8-UB_PMA_filtered	8-UB_filtered	9-AC_PMA_filtered	9-AC_filtered	9-Abd_filtered	9-FA_filtered	9-FH_PMA_filtered	9-FH_filtered	9-PC_PMA_filtered	9-PC_filtered	9-UB_filtered
Corynebacterium xerosis	67	1	7	18	64	91	19	1	398	29	65	71	82	167	145	81	230	309	18	1	35	52	47	152	190	15	17	22	69	1	0	0	1	38	23	39	173	82	43	158	83	0	112	2	3	498	8	64	19	241	191	38	55	36	0	4	1057	122	0	1	118	301	360	221	194	11	3	110	26	0	0	815	3410	34986	5235	8361	66	149	10611	9691	920	188	1643	1314	790	749	117	194	868	714	18	3	13	2	192	47	4	2	73	130	10	0	14	23	106	16	160	41	0	5	253	74	29	40	265	64	71	78	11	673	250	141	1
Cutibacterium acnes	8633005	10824415	4198879	4649575	3801684	3001509	3980230	5562988	767723	308350	785063	470308	149151	3231201	3250476	340808	2812364	4469696	309251	59689	619588	768613	738545	3195374	3111762	100564	93068	3130878	2915704	3891522	3337555	3816769	2372869	4381058	3634558	3505264	3472511	1685062	2019280	1239786	499572	664947	1164353	2511074	2999465	212213	64481	4271210	3543460	51863	943069	5192227	5039831	2313905	2766980	1927352	1915663	2377849	2933664	2637454	2706324	2967823	8723415	2004588	3448945	8502416	3866713	509927	123987	8040049	4324465	6292442	12177589	11500607	7392944	6615835	3382404	3460297	5006688	2658347	10323247	1983048	3962427	4995977	854248	2846776	2123803	4191021	870716	777838	704348	367392	4774848	10377211	4127302	5345085	5319546	3682991	484589	2389587	9916631	5113206	396856	413039	1845786	1622214	3392185	2021028	3785181	12542161	553123	468636	1431110	3901345	929030	1212087	834319	1341743	2170912	389900	504291	419706	5529250
Cutibacterium avidum	6926	5952	2063	2478	1668	3007	5905	6208	1635	1112	417	1356	289	1641	528	1821	3859	1744	62	27	161	520	337	3389	1986	1777	2166	3755	2137	2469	2446	1739	1109	2776	2038	1710	3552	10568	7457	932	596	1018	876	1340	1481	429	465	1543	962	365	858	3204	4165	4247	1670	1273	4395	8910	1799	1607	3619	3241	13292	2207	3256	4485	1846	1162	408	9082	3049	6771	14547	16248	8947	10226	1968	2118	6957	4817	5984	676	3262	4930	1915	2075	424	652	1392	2406	212	74	3353	7443	4547	5167	3095	1843	1318	6172	8262	3396	188	363	1949	1146	2913	1153	583	1688	3017	4312	856	2035	675	2565	3223	2470	1863	1516	5603	7086	1822
Cutibacterium granulosum	275343	182702	100179	60717	46772	25746	1002690	1091561	338089	2427	14321	8563	4120	270041	79389	13039	912566	351399	1104	351	2131	5353	5568	274836	177453	1359	1224	342337	194009	103107	144146	37941	31642	34796	90419	77545	38602	2129945	1463801	12513	10041	16634	16573	15342	25021	5220	993	96992	66078	1789	30405	8779	22355	16478	1783	2180	18226	16763	3757	3935	242755	125080	208321	51663	86446	96089	32584	13058	3505	1220268	324711	58939	118450	78160	37948	57258	11918	13221	18916	15613	45750	4973	16957	20764	4449	11787	18169	26828	5787	4426	33470	9878	31956	44824	22800	28848	5357	4093	2542	14109	612026	114766	5632	4891	21553	17697	44396	23849	27570	45876	8930	7297	13569	35390	4720	7318	6048	6415	291498	18530	4540	5981	1090
Dermabacter vaginalis	86	5	8	1	3	204	0	2	1711	443	3734	66	331	79	71	9478	76	149	3	1	2	13	4	0	3	53	37	2	5	0	20	2	5	42	7	21	738	2	5	209	376	356	1089	27	54	997	185	289	255	323	357	5413	9079	12527	24	140	16100	31928	38	62	38	225	748	115	240	9	3	205	65	2	4	18	75	216	87	120	1	3	241	205	12	3	562	460	531	285	25	64	820	1285	12	11	151	78	181	140	4	9	49	1167	10	9	12	17	48	32	74	62	3	6	247	382	28	41	857	4033	5720	3316	63	0	5877	6891	14
Dermacoccus nishinomiyaensis	917	221	9	13	17	2858	5	10	8201	2372	8398	17925	1581	100	39	81553	528	94	16	5	19	394	48	10	5	241	105	10	18	122	151	3	20	310	13	14	5627	6	9	2501	2389	3717	2996	21	35	794	123	619	185	21	1013	782	810	153	4	554	7648	502	0	2	3067	1595	5371	1127	1463	97	31	1017	689	2	33	354	267	1678	290	353	8	21	9382	3582	61	9	247068	711293	390192	255332	22638	66180	146375	274770	5781	3269	821	1245	6212	1380	12	16	1959	2595	303	50	564	260	1484	559	1907	704	30	80	2672	697	775	1195	1683	502	1011	1002	203	18968	1623	1109	18
Dietzia maris	184	65	6	17	17	304	16	12	566	18	391	460	1294	38	16	1922	57	44	1	3	6	83	53	10	12	21	9	10	8	377	484	31	76	626	24	47	21169	63	101	331	143	11	174	11	12	176	60	85	28	664	939	258	57	28	6	4	456	267	9	5	2331	2358	2765	931	1082	63	26	956	280	22	22	120	454	2423	675	783	12	9	850	667	93	12	3248	2136	1116	1436	141	322	1683	1341	86	16	121	102	142	99	9	9	5	60	64	11	140	157	364	234	850	345	21	46	404	174	275	613	218	103	92	100	15	1088	629	198	9
Enhydrobacter aerosaccus	80	47	5	5	3	210	2	5	417	38	957	156	422	127	158	2716	137	211	16	9	63	223	196	0	1	61	82	5	17	15	8	0	3	25	16	11	116	2	4	123	82	126	121	7	5	125	18	108	24	2	64	3158	3935	679	1	5	3423	3124	76	195	361	368	1056	252	337	13	3	333	73	0	3	161	725	3789	1289	1136	9	4	3557	2637	122	30	252	80	38	152	20	19	626	224	5	1	4	0	53	87	3	2	10	65	7	4	110	58	289	140	487	242	15	20	321	218	267	310	105	14	43	183	0	430	211	128	8
Escherichia coli	4049	278	45	46	21	8362	94	54	18701	12585	17571	28494	3352	197	27	4830	1566	136	76	7	17	433	77	14	5	311	214	59	13	154	601	28	37	959	27	9	8873	30	8	23865	8938	5003	1537	46	49	6157	3699	13627	214	564	3027	2311	1096	184	9	11	18365	1335	12	9	9770	10763	1941	1573	735	244	21	76055	553	655	12	1945	712	9309	9562	1979	45	8	49080	967	402	35	8922	318	936	156	72	27	3335	386	707	99	380	293	2771	568	19	8	2594	979	7005	31	862	67	2321	232	1381	123	18	49	3140	633	659	102	7815	667	1144	896	494	73472	6936	432	14
Facklamia hominis	0	0	2	3	0	76	1	1	0	0	41	0	43	0	1	0	0	1	0	0	2	1	4	0	0	1	8	0	0	0	2	0	1	29	3	0	101	0	0	0	96	730	94	3	0	369	309	3	5	0	18	0	10	14	0	0	52	14	0	2	4	139	974	109	193	13	1	96	31	10	6	9	0	0	4	7	0	0	57	2	1	0	0	0	1	5	0	3	0	8	0	0	15	51	102	82	2	4	143	441	3	2	58	42	281	190	524	211	12	22	4201	6743	115	223	0	0	0	13	0	0	0	30	0
Finegoldia magna	427	132	92	39	55	3406	19	8	541	956	6110	144	354	92	74	5665	185	100	9	9	67	212	142	5	5	4236	3236	19	46	49	61	101	231	720	335	237	10923	21	15	345	296	2554	537	6	10	3991	3580	79	23	1	510	144	186	454	4	6	769	610	5	9	1131	2215	8352	1041	1761	97	33	1751	342	4	18	77	210	2042	554	478	4	5	1879	1559	29	6	233	47	49	65	26	14	214	147	5	0	191	415	989	536	17	17	448	1965	36	9	433	455	4317	2521	4763	2214	148	291	25616	35179	1215	1406	329	394	1669	970	10	183	1573	799	4
Granulicatella adiacens	308	2	10	14	16	620	2	5	0	0	17	0	27	3	3	68	13	3	1	2	5	19	7	0	0	20	11	3	1	26	9	1	2	109	4	3	40	2	1	159	1455	0	1776	19	26	0	26	450	172	0	626	87	59	110	1	1	57	89	0	0	258	424	1093	194	411	713	318	437	97	50	1	152	2392	977	1979	1985	17	17	650	366	119	34	523	279	85	486	175	57	505	57	12	2	499	360	512	388	20	33	172	148	25	15	26	20	348	108	178	121	21	77	102	132	67	97	257	312	122	314	0	0	40	45	1
Haemophilus parainfluenzae	277	29	17	25	45	588	5	11	285	0	122	151	115	58	32	124	70	36	19	21	78	619	545	18	30	134	66	6	17	45	37	7	21	412	19	19	299	2	6	1141	638	1616	2251	81	159	727	55	1161	428	1474	1857	784	628	950	8	37	680	992	16	43	1071	645	2533	465	721	363	139	518	105	97	2	106	479	503	1864	1559	3	12	367	1797	70	19	4827	2770	1787	6103	1863	1183	3259	1800	87	28	1503	2276	2662	1548	81	134	888	472	114	29	42	62	557	234	547	293	61	213	205	258	230	335	2011	2130	917	1391	7	814	467	183	8
Janibacter hoylei	96	26	8	8	4	1471	19	14	2384	243	5864	601	1154	163	184	19655	210	332	39	18	164	530	374	3	6	146	270	15	42	62	12	2	5	282	3	7	809	5	2	3222	529	149	695	5	2	290	64	186	60	3	91	731	102	56	2	3	1145	286	6	1	2270	884	1478	583	801	40	6	688	185	48	5	3990	20752	166253	17862	30929	114	269	53826	63550	2153	396	1227	427	224	250	32	39	323	263	13	3	137	521	484	556	11	1	83	796	32	8	233	112	432	234	637	265	15	15	949	295	290	489	256	41	44	26	7	2407	453	117	9
Kallipyga massiliensis	4	1	7	7	2	35	2	2	1	0	0	0	1	0	1	108	8	0	0	1	0	3	0	1	0	7	14	0	2	0	0	3	0	0	0	0	67	0	0	1	79	3	3	0	0	170	199	0	2	0	41	0	0	0	0	0	28	28	0	0	241	322	1979	417	714	14	2	343	80	0	11	0	0	5	0	7	0	0	105	92	4	0	16	0	2	2	2	0	2	0	1	0	23	0	23	20	0	0	0	20	0	0	228	215	1003	759	1470	860	10	46	22933	26516	288	507	42	11	5	0	0	1	8	35	0
Kocuria kristinae	139	312	172	98	57	117	1411	1464	1614	136	109	106	53	6	10	45	42	8	0	1	2	16	9	3	3	13	0	20	18	38	17	93	116	45	214	197	283	2039	1429	107	903	4	73	4	16	206	7	66	37	101	101	427	223	126	0	2	172	196	3	6	735	875	2023	557	854	78	54	247	112	124	60	21	109	419	180	191	8	5	278	189	25	4	405	282	312	154	47	79	203	157	126	62	116	80	145	200	10	16	1	31	13	8	83	100	472	276	1121	565	42	125	454	257	179	418	572	1616	2310	2082	8	234	1163	2126	35
Kocuria marina	288	2	7	3	4	293	7	0	459	27	405	45	168	11	13	448	50	42	1	0	2	9	9	1	0	23	8	0	2	2	2	1	7	50	10	9	686	1	2	480	773	690	8502	48	180	1845	634	657	627	1	1895	234	47	11	1	1	376	30	2	0	869	817	3933	1003	2021	558	463	334	131	0	14	1492	7039	15750	4631	7221	1669	3544	1601	1621	563	112	661	699	598	231	29	51	355	438	6	11	26	3	150	5	0	0	0	43	8	2	73	51	312	59	268	171	8	46	143	41	87	186	104	59	36	40	10	0	430	192	4
Kocuria palustris	687	20	10	48	66	2386	23	87	5605	1766	2550	7948	919	72	57	8681	280	103	42	14	89	372	312	3	14	139	181	11	30	133	174	7	22	714	85	115	2291	16	20	742	1248	3332	8466	110	249	2500	629	1388	1003	7	1207	212	780	260	2	9	2871	1046	6	4	5623	2912	4031	1641	2197	151	59	2123	607	4	15	9660	41940	75350	32652	49370	6012	11693	27978	25249	5613	1062	27380	75674	66370	23214	2773	7433	17957	43549	809	475	234	309	800	688	20	11	385	606	58	32	522	271	1066	541	1859	829	75	224	2042	591	383	827	1821	3801	2231	2466	101	12346	13647	11850	74
Kocuria rhizophila	61	30	4	1	3	188	17	16	9537	566	5696	940	2703	196	263	9725	443	703	8	0	19	50	26	2	1	26	55	4	10	27	17	0	4	132	6	2	443	0	2	172	1176	63	357	7	14	495	51	111	27	8	363	2	120	35	0	1	1209	239	0	0	1103	744	2359	442	667	45	26	944	171	1	10	2318	12123	38244	12932	19145	1378	3320	15765	14925	1887	403	1428	1771	1738	667	80	145	716	912	39	12	64	5	267	102	2	6	6	16	13	9	113	102	250	167	445	178	2	17	259	224	198	364	296	304	331	274	2	260	840	547	2
Kocuria salsicia	143	7	1	152	249	138	32	41	2170	81	832	301	409	933	881	2125	1197	2132	352	55	658	655	609	2545	2971	39	96	435	1454	135	22	5	4	118	175	282	216	72	46	223	186	0	445	5	29	132	63	91	39	2	7	0	105	16	1	3	259	49	0	1	229	260	551	181	223	36	13	199	50	21	6	476	2078	6382	2429	3521	259	536	2889	2254	381	72	820	654	648	309	45	103	594	491	14	10	14	1	77	36	0	1	44	143	15	5	35	43	98	38	134	42	5	18	258	220	44	67	113	94	73	135	0	335	231	158	2
Kytococcus sedentarius	300	174	23	11	18	1973	23	18	1524	769	7729	2458	3061	359	674	6921	555	1014	39	3	56	293	194	3	8	104	108	13	23	207	231	8	44	645	49	44	12432	7	22	2515	2766	1246	564	20	14	2820	399	787	133	6	902	958	761	190	0	10	5492	1615	6	7	2940	2129	2166	787	1103	142	49	2333	556	7	17	15369	89025	453125	75441	129149	988	2329	149440	186515	10479	1889	5831	8905	9276	3283	329	705	2771	5406	112	70	263	172	809	280	19	6	567	730	71	10	219	173	341	200	795	310	24	48	536	342	248	386	2112	3585	1887	2302	41	5959	24088	23201	39
Lactobacillus crispatus	474	95	78	87	61	3494	43	48	394	233	1507	676	174	11	4	162	46	17	19	1	7	153	21	3	2	119	328	6	0	34	63	30	51	200	45	37	4840	14	2	1396	2662	26129	3309	87	158	6641	5817	1065	419	1	836	459	43	29	0	1	441	54	0	2	2221	3209	22358	4945	7593	423	163	10938	2301	119	85	323	865	15305	2557	2170	15	12	14639	11595	184	34	619	314	64	66	62	24	662	104	2	1	1047	3526	5989	4498	83	86	5499	21241	285	73	2630	3239	25287	14426	31919	15843	994	2884	174080	206584	7811	10378	195	33	153	172	6	769	553	164	1
Lactobacillus delbrueckii	94	2	5	8	8	426	3	1	59	0	0	83	308	0	2	30	0	1	0	1	0	16	2	0	1	6	1	2	0	121	37	1	22	507	48	55	353	5	4	0	45	10	7	1	0	0	7	5	0	6	35	0	0	4	0	0	34	0	0	0	437	135	841	265	266	17	8	2629	523	0	2	1	13	53	1	17	0	0	47	85	13	0	246	47	7	18	0	0	206	45	0	0	260	135	1145	750	43	38	133	257	27	16	320	230	3462	1472	2669	1381	692	2265	1157	674	266	442	17	1	0	20	0	0	27	5	1
Lactobacillus iners	515	120	116	52	78	8553	18	23	0	0	0	5	0	0	0	22	11	0	49	9	67	381	222	0	5	254	293	25	43	16	21	38	53	157	70	69	5868	6	6	0	15	0	2	0	1	58	8	2	1	0	58	11	7	0	0	0	13	45	0	0	71	2	24	0	7	2	0	1	0	0	0	0	0	15	30	30	0	0	55	4	0	0	4	13	1	2	1	2	0	0	6	0	0	71	14	14	1	1	1	0	379	0	0	3	10	268	21	4	0	6	2	36	8	3	29	0	0	2	2	229	0	2	0
Lactobacillus jensenii	73	17	12	9	13	1288	0	0	309	0	1	0	0	1	1	0	0	2	1	0	1	12	5	0	0	15	50	0	0	12	4	9	12	83	12	13	1076	1	0	505	481	9387	1004	10	17	1985	1527	85	11	2	35	0	26	0	0	0	53	1	0	0	123	106	564	151	185	13	5	382	79	0	2	0	4	37	28	8	0	0	25	31	2	0	9	49	0	1	2	0	96	16	0	1	276	858	1585	726	9	11	949	3416	67	16	52	52	406	328	749	298	17	58	3037	3683	132	202	0	18	0	9	3	0	0	12	0
Lactococcus lactis	309	24	5	14	11	211	1	2	355	280	519	1215	252	15	15	175	39	4	5	4	4	42	32	0	0	14	6	2	3	106	24	0	3	260	31	9	99	4	1	288	361	269	175	10	9	73	28	229	14	1	217	80	67	32	0	3	205	108	1	2	250	417	611	530	637	37	7	428	82	1	3	128	363	2640	701	451	15	20	2644	9820	36	3	986	313	208	445	178	70	956	333	21	0	354	262	1429	721	19	25	284	594	66	14	105	88	666	324	648	307	47	142	199	154	236	202	0	26	3	22	20	3028	156	6	2
Lautropia mirabilis	101	20	5	6	12	308	3	2	173	356	124	277	38	7	2	49	5	18	8	2	4	84	78	2	0	43	4	0	2	16	4	2	0	26	7	2	163	1	1	3394	2953	355	19421	96	317	561	102	4132	3554	2	1322	79	55	1716	2	6	411	58	1	0	644	546	4000	813	1116	542	385	208	69	2	9	120	318	938	2078	3742	20	20	427	251	43	15	1325	1281	880	5075	604	1172	1181	821	41	13	3727	715	1417	2193	88	170	287	674	139	78	61	70	484	252	763	319	90	505	306	127	98	231	37	62	47	51	3	1	92	21	1
Lawsonella clevelandensis	358	98	88	23	48	2233	23	21	207	94	313	394	95	23	13	518	31	27	23	16	98	559	448	305	785	924	1903	20	50	50	75	23	73	504	155	206	7833	10	8	390	360	224	103	5	15	903	396	92	75	1	774	1	143	513	3	22	534	178	1	0	862	1454	7978	1869	2487	292	114	1057	219	2	46	268	650	7238	2018	2484	47	108	2562	1499	194	30	3585	1841	844	2783	1344	1781	1303	1018	93	19	335	321	908	898	22	30	665	722	246	69	716	654	3291	2171	4373	1971	74	404	28015	28169	1112	2119	1278	759	1131	1498	37	333	826	601	56
Levyella massiliensis	11	10	17	3	2	339	5	6	0	0	18	0	16	3	6	809	5	3	6	1	19	68	86	0	0	326	644	9	21	2	4	0	2	13	0	1	454	0	0	51	1096	204	189	4	11	6320	6634	36	17	0	1	0	18	20	0	0	94	62	0	0	0	220	1971	445	532	10	6	544	93	10	14	0	9	44	0	1	0	0	19	2	0	0	113	79	95	45	1	10	271	137	0	2	152	0	278	234	2	1	226	1469	10	2	192	146	1190	765	1297	878	18	53	16221	20325	189	451	253	118	123	186	0	0	781	556	1
Micrococcus luteus	4968	1041	395	240	170	24405	285	690	84683	22798	94309	71610	21770	4672	5386	702956	6079	9415	3405	1698	18445	39241	36751	284	1311	12194	19563	912	3099	913	2384	269	557	6551	511	505	44549	302	533	39215	70570	30368	68391	248	461	16961	5693	20985	8984	860	30718	67394	149152	29926	130	860	209200	258559	1058	1984	89848	101096	208543	27888	54288	2839	2252	56653	19759	459	725	23530	96075	360230	93230	149023	845	1847	191810	178577	9907	1522	1748888	3659714	4821082	1094596	136609	326248	1030717	2057852	44276	20580	4914	18829	10286	7904	97	125	11032	15746	1987	503	26021	27205	14834	11553	70910	43940	1087	3623	27857	24757	9003	24374	282131	1070955	557904	655317	1270	75063	1132015	2039885	10925
Moraxella osloensis	242	61	12	12	16	855	11	10	1116	282	2357	331	702	208	222	5257	322	352	61	32	303	849	636	7	8	307	365	24	82	29	27	2	3	310	19	22	660	1	1	997	317	306	953	7	8	324	128	168	99	1135	269	27999	36255	6699	36	44	24072	34581	677	1454	768	954	1692	511	750	30	10	497	138	0	10	321	1738	7877	2446	2316	5	11	6325	5020	272	60	422	224	183	390	41	41	822	806	18	0	37	100	270	228	3	12	166	106	22	3	243	126	750	219	963	409	30	67	492	348	404	516	212	86	239	464	13	1440	669	333	16
Morococcus cerebrosus	125	81	18	16	14	1007	16	24	111	47	77	61	35	5	3	499	16	5	1	0	1	16	32	0	1	75	5	1	0	34	39	3	11	365	6	1	351	4	0	289	873	1750	2690	33	62	3390	21	528	464	22717	607	2925	160	39	3	5	455	189	0	1	2257	553	2115	431	436	261	200	913	38	73	4	150	1021	983	1108	1131	4	9	915	121	24	7	1282	835	510	2480	389	386	1056	418	21	14	687	762	876	724	16	38	300	367	44	14	207	80	847	488	867	542	101	493	137	115	118	328	177	99	66	155	9	2	84	54	0
Mycobacterium chelonae	53	6	0	1	3	165	3	1	24	0	25	196	27	2	10	25	9	11	4	3	1	27	42	3	0	20	27	1	4	38	12	1	2	53	3	0	35	3	0	87	96	275	21	6	3	36	59	14	13	116	2587	25	47	154	1	3	272	98	0	0	6696	10222	2248	16866	32314	45	22	502	105	3	6	39	200	715	422	490	1	2	349	141	50	0	206	79	27	45	8	18	365	198	5	3	57	239	619	119	7	2	186	136	24	4	34	8	101	16	76	30	0	25	10	54	21	42	122	127	141	755	14	700	5402	3652	10
Mycobacterium iranicum	245	43	17	5	3	876	17	26	1570	68	809	1354	210	41	60	1065	263	238	413	244	547	4818	5507	1	13	446	877	76	322	62	12	8	37	153	3	18	753	5	5	502	3961	294	586	4	8	182	89	523	136	3	444	141	224	185	2	4	1175	288	9	3	1822	1124	1354	1079	1404	25	17	366	158	0	8	1169	4055	20576	2460	2553	10	13	2910	2052	521	108	310	529	124	192	15	16	579	357	26	2	12398	15470	14291	16562	55	79	3079	24306	1021	541	184	140	459	172	563	247	6	24	201	159	195	430	403	142	653	385	24	2043	3407	1538	56
Mycobacterium mucogenicum	430	154	171	4	7	944	28	53	3907	202	3836	958	1435	207	206	6904	2628	4750	104	48	142	1236	1148	2	3	437	499	27	91	22	118	25	137	907	19	12	1497	5	7	2565	4592	4407	9291	40	13	2298	1320	971	339	7	817	1993	971	708	8	8	11127	1750	7	25	1134	1488	5599	1345	1655	55	34	1060	264	21	36	168	573	5454	1056	1406	2	3	1549	769	208	29	1947	1370	419	694	89	118	1689	12980	43	15	1696	3739	3664	3800	11	16	1096	4945	464	185	569	358	794	605	1464	704	57	160	791	608	615	1466	1235	932	1585	1823	15	21	14052	9181	33
Neisseria elongata	692	117	18	13	11	2594	33	30	3	0	211	1	55	19	6	2	11	20	3	0	1	36	19	1	0	9	9	0	2	321	36	6	37	793	9	5	409	6	1	1391	1719	2020	3234	20	59	2112	67	988	410	15537	7602	3633	50	181	5	6	757	967	1	4	462	257	1713	165	169	74	47	806	40	217	0	509	1109	1718	6132	7491	8	22	1558	278	119	41	922	360	152	569	115	105	1486	173	21	7	582	945	796	376	4	23	1372	380	59	21	15	14	222	263	279	137	24	138	143	38	42	102	7	106	40	88	0	99	40	10	1
Neisseria mucosa	263	2	3	23	59	619	10	2	107	1	257	132	36	9	9	71	7	12	1	2	4	117	51	2	5	26	3	3	9	1	32	2	4	370	25	47	351	3	3	360	678	627	2536	84	172	20	32	437	354	454	560	302	372	237	0	6	399	241	0	0	732	535	2708	303	683	234	181	232	54	0	6	37	95	197	225	268	0	4	92	82	14	3	107	155	73	245	55	74	84	89	6	3	1057	1089	1055	698	45	36	218	297	40	19	101	95	654	511	611	424	43	259	166	296	131	392	657	978	167	474	4	135	75	82	2
Paracoccus sanguinis	104	26	10	9	8	1295	12	13	265	173	2647	566	1492	84	70	3125	181	257	12	4	28	156	139	5	4	52	90	8	16	4	22	5	6	46	20	30	561	4	5	157	460	488	270	7	17	343	32	134	41	2	684	674	249	30	2	3	588	149	5	7	358	387	857	327	275	22	11	314	199	34	5	2638	12834	66947	9011	13354	33	53	23667	22424	1305	254	937	439	287	325	23	25	355	379	17	5	119	157	233	183	12	9	0	103	32	25	143	52	208	151	312	153	8	38	280	101	145	229	70	17	40	109	4	540	1459	704	11
Paracoccus sp. 228	223	55	4	16	23	1032	23	19	746	974	420	1107	987	12	21	1654	33	51	32	13	50	562	546	3	2	180	199	4	23	96	144	3	5	429	28	39	1105	10	12	965	1730	6	1300	9	7	241	83	277	72	1462	2536	2825	842	415	0	7	1927	999	24	13	8642	7539	4465	1282	1841	68	31	1136	351	0	11	479	1770	9448	3065	3102	73	124	6873	6169	496	90	1396	507	139	594	26	32	663	308	13	5	247	11	179	258	9	5	363	730	47	5	336	144	3997	2216	1005	573	48	155	650	895	157	415	523	156	212	124	13	2625	486	158	4
Paracoccus sphaerophysae	431	59	24	42	16	2042	31	16	32286	120	4899	331	1228	308	326	9916	498	847	65	37	477	921	889	9	7	230	513	32	87	65	31	13	63	258	30	39	2632	16	9	605	309	3	128	9	7	358	62	57	48	0	483	26	313	43	5	8	386	425	6	13	381	396	814	198	237	42	18	199	115	18	7	417	1355	7263	1307	1420	13	16	4143	2983	192	39	488	386	138	105	17	26	237	220	20	1	126	17	159	107	15	7	79	169	192	18	102	58	195	109	317	95	16	44	344	116	115	251	162	25	67	101	25	810	2767	943	15
Paracoccus yeei	255	52	14	17	10	1056	32	10	25964	202	12144	763	2879	777	1037	22432	2035	2868	60	19	294	884	885	2	32	205	459	31	73	36	25	1	0	126	7	17	637	4	1	4959	585	324	416	13	4	536	307	183	112	86	700	2535	9587	1134	5	13	7487	6578	55	113	1933	1762	5911	1227	1817	62	35	1505	582	89	23	1171	5171	20023	4510	5334	10	12	7814	5698	453	67	1959	1638	1248	786	56	133	725	1588	29	8	413	404	479	544	14	10	227	443	75	25	361	408	1172	530	1442	680	46	134	1199	826	785	1418	612	455	355	979	14	1859	901	347	23
Peptoniphilus grossensis	77	19	13	3	9	887	7	3	0	20	3	83	0	2	2	114	0	2	6	4	12	64	41	3	4	1117	1241	9	15	0	6	9	12	2	10	14	1405	1	1	6	15	161	56	5	13	1864	1440	19	10	0	122	0	20	21	1	0	127	43	0	0	130	170	1221	265	403	13	5	325	57	0	1	17	88	2157	286	217	1	1	1290	819	15	6	10	2	15	17	3	2	144	52	1	0	26	47	113	82	1	3	106	343	8	0	130	160	1224	780	1474	651	44	78	11709	16187	412	457	45	62	148	88	0	188	155	169	0
Peptoniphilus harei	199	70	47	8	10	1586	8	4	0	0	258	18	64	5	6	620	26	8	1	0	2	5	11	0	1	115	79	0	1	47	27	37	120	323	116	105	7123	10	3	67	679	2667	379	7	6	1959	1726	21	12	0	81	0	30	17	0	0	11	52	3	0	266	1315	2587	476	627	16	9	638	97	0	3	5	7	85	9	19	0	0	130	93	2	0	7	1	14	15	5	1	13	6	1	0	81	225	191	239	5	6	177	982	31	4	22	90	516	354	832	403	21	45	5650	6868	203	235	4	14	35	37	0	0	24	16	0
Peptoniphilus lacrimalis	11	6	5	1	5	164	3	3	96	0	405	1	0	1	5	26	0	1	3	0	7	21	11	0	1	313	269	6	4	0	0	7	7	16	17	3	382	0	0	2	56	4	7	1	0	992	787	0	8	0	2	0	27	19	2	1	148	237	0	1	63	111	662	177	227	5	2	207	73	0	0	4	15	79	32	20	0	0	140	104	2	0	17	25	5	0	4	0	3	2	1	1	7	24	34	49	1	2	0	140	0	0	26	69	645	313	641	278	14	29	8170	11219	215	194	0	9	19	18	1	0	39	48	0
