#OTU ID	1-FH	1-UB	1-Abd	2-FH	2-UB	2-AC	2-PC	2-FA	3-FH	3-UB	3-AC	3-PC	3-FA	3-Abd	4-FH	4-UB	4-AC	4-PC	4-FA	4-Abd	5-FH	5-UB	5-AC	5-PC	5-FA	5-Abd	6-FH	6-UB	6-AC	6-PC	6-FA	6-Abd	7-FH	7-UB	7-AC	7-PC	7-FA	7-Abd	8-FH	8-UB	8-AC	8-PC	8-FA	8-Abd	9-FH	9-UB	9-AC	9-PC	9-FA	9-Abd	10-FH	10-UB	10-AC	10-PC	10-FA	10-Abd	11-FH	11-UB	11-AC	11-PC	11-FA	11-Abd	12-FH	12-UB	12-AC	12-Abd
SMGC_297	30	43	76	38	1173	5102	3613	4717	10	49	1524	2247	492	2204	110	146	8462	1582	6137	20026	530	1306	77448	226327	98372	584724	645	68	14614	10152	4981	7964	22	30	586	1296	424	308	412	7306	1101	3259	2517	3271	1533	27	132	1329	300	220	151	327	8345	10267	908	3539	10	23	10	177	289	64	19	12	125	34
SMGC_299	318	362	161	56	425	3822	709	4285	17	57	5443	4082	627	713	112	80	9552	958	6084	6075	1488	1978	112917	342115	165997	890860	527	39	3325	1534	1549	1872	58	172	1005	4329	2545	2514	356	1056	389	966	832	1151	6950	119	656	1581	615	661	1109	2308	12939	44105	3846	15903	498	541	154	1891	2703	1119	317	290	292	146
SMGC_301	20	22	51	24	114	273	106	2285	4	0	770	694	126	255	14	6	555	187	603	2000	4112	1405	29256	17675	60018	80309	8100	1178	125263	40271	42381	53994	6	46	213	436	471	1484	36	402	66	261	243	181	1456	12	799	3955	1579	1119	7	20	235	1032	231	597	17	8	4	71	45	11	40	23	32	34
SMGC_302	287	143	33	375	262	1433	297	1364	297	272	1204	586	560	281	272	35	3407	358	2168	4562	961	300	12955	27593	19121	80774	1706	376	10046	8054	6671	12747	351	91	568	683	252	422	244	548	242	476	431	332	1134	62	1259	6502	986	954	180	265	2066	6142	675	741	62	47	169	137	182	383	382	154	86	22
SMGC_303	545	469	219	417	1594	2445	454	5573	297	45	7983	1107	338	457	763	426	25043	4430	13211	85466	486	202	4809	10434	7229	25513	924	62	2603	1653	1904	2282	273	500	1195	10225	3839	3747	1825	4697	3961	4859	7728	3469	1196	538	3486	12455	4613	6275	413	742	1365	4543	1518	3042	241	362	38	584	921	122	477	153	186	99
SMGC_304	26	256	53	18	37	315	158	383	1245	914	619	215890	115096	81323	24	91	888	168	1722	1399	37	18	583	560	890	890	94	8	1310	1504	639	2631	16	26	339	2160	515	532	62	97	48	393	116	40	172	33	2294	4080	3438	4413	33	35	214	1000	123	500	31	33	8	77	92	37	48	233	56	10
SMGC_305	578	365	808	410	1677	7517	6532	11517	1467	557	4969	182771	76619	54014	661	245	11164	2972	13627	92946	1331	94	6061	16030	10880	19763	1861	84	8917	23758	6994	8983	268	245	3250	19657	9462	9703	923	3658	1677	17795	5230	4491	4777	1298	204358	265444	219926	275984	2794	2223	13850	73802	6971	33101	73	175	55	6696	1025	257	2069	191	39383	800
SMGC_314	267	228	202	509	2558	9284	933	11966	51	36	36568	4626	779	1763	2830	840	139880	17837	52934	295817	29609	3779	161728	212464	243282	664094	7908	588	70435	58304	23803	168128	120	237	1815	6435	2391	2574	4391	18822	13930	18275	27363	13932	24014	228	6589	12975	5106	4387	631	1182	11763	22960	3246	7463	322	399	59	633	1081	565	426	138	667	58
SMGC_316	97	90	83	55	495	5137	832	2525	40	16	2237	1486	289	775	126	71	9179	989	5302	18850	14726	4772	197304	432204	301732	1208263	982	54	9653	5034	3984	8811	25	102	776	2316	1034	1568	243	1385	549	1101	1105	983	7126	51	1739	10655	1896	1376	3402	5439	39902	162863	12585	47319	36	78	21	283	365	115	120	83	140	94
SMGC_324	97	27	25	971	14718	319146	340991	454040	16	15	35027	6514	962	2028	622	1284	110610	13666	50720	151824	62	38	1376	3422	3039	7645	46	2	358	467	358	358	72	39	494	1413	1188	825	664	7798	2689	4854	6470	3391	3276	150	605	10682	1140	2975	320	602	3374	2640	1437	1898	6	49	24	316	458	90	52	7	105	30
SMGC_326	512	860	131	169	1035	2815	885	2802	42	77	3856	2422	595	997	354	483	10847	1240	5723	21794	1790	683	27964	46155	36374	129758	3868	256	28107	17121	11352	34719	165	777	566	1239	1140	1383	2600	2452	1121	1916	3038	1875	4776	807	8112	16142	5723	5469	2646	4406	43503	105073	11225	23004	828	1032	349	2651	6007	3637	479	411	189	88
SMGC_329	48	112	43	162	2004	2885	367	8172	10	8	6002	1297	200	389	372	215	21375	3510	13633	112752	466	145	6288	4979	10821	15152	486	37	3958	2263	1967	3410	34	85	562	3693	1223	1532	601	4288	2732	4370	6064	3002	2545	75	2121	6578	2610	2122	78	123	2110	3151	878	1887	20	28	14	158	336	50	82	118	102	22
SMGC_33	60	78	37	34	116	571	261	700	126	137	136	66674	9760	13614	60	50	1677	414	875	4896	38	16	946	1757	1353	2573	246	2	2142	3066	1341	1452	69	55	916	8255	1599	942	95	186	64	597	284	99	9	90	13988	18837	13675	20321	175	202	2042	9931	899	4184	10	31	2	234	60	11	76	23	124	67
SMGC_332	37526	3558	752	1429	7656	13834	1971	12367	1417	547	28979	91573	54119	32734	85566	4870	70968	7723	132499	494906	16157	6253	32872	29952	127252	93560	96972	1141	99125	48403	118952	48919	85482	19153	79520	63208	126942	70757	203242	123110	12675	18376	42110	29575	30851	38486	143272	162946	187829	200743	262218	9059	28986	58232	10476	41831	30171	5084	596	4310	18947	2412	67492	2683	4144	637
SMGC_334	1129	603	468	1327	790	924	182	2276	554	655	2645	865	661	1585	1999	849	3938	354	3617	8260	898	396	3099	958	7473	4125	661	27	1798	835	2571	919	1283	936	7210	1726	6290	6593	4196	2271	422	1266	1917	1986	926	1000	1244	283	983	2194	1072	649	562	236	292	438	300	202	10	192	361	97	675	229	707	447
SMGC_336	227	34	50	450	572	2268	205	2302	22	26	4794	676	730	761	2328	56	5651	606	4989	13833	105	42	2468	926	9797	3551	1045	36	3108	2093	4816	1969	660	257	12064	3024	11679	10161	4052	3264	775	1217	3674	3397	766	11	2063	511	1873	4092	48	75	766	455	528	280	16	26	16	120	430	59	74	11	129	55
SMGC_337	949	302	1336	219	463	2095	1042	3805	716	112	2481	33894	13771	10445	662	176	5715	1264	8513	43555	7077	148	8083	12507	15337	30430	3512	87	12896	27549	9075	10985	501	241	3312	7727	8093	7547	1287	3189	1834	20596	6440	4930	1686	221	35920	45935	41987	52050	4452	672	2427	13873	923	9794	104	120	39	3155	810	166	3673	172	4530	1144
SMGC_338	157	135	310	66	468	5750	7023	7354	10	21	962	808	399	436	92	133	2938	1226	7328	24244	25	20	1096	4508	2346	5445	140	20	1438	2571	975	563	66	103	1268	13167	3266	4994	1121	6837	4516	279646	18966	17771	2862	107	2133	4015	5195	7784	48	110	980	2104	234	731	57	351	114	12340	2238	446	135	25	287	144
SMGC_340	610	568	614	732	2119	112811	33848	13680	407	32	40112	13010	1871	14213	533	240	129779	7691	7305	25711	522	426	10624	13231	25054	113793	399	802	2157	2195	1205	8818	382	408	4204	8905	3566	3516	397	700	741	7941	1028	3444	1075247	192	6617	3070	13145	14554	250	1734	264642	68888	44268	230749	110	211	86	2708	998	296	461	122	5761	268
SMGC_343	6419	1342	3428	5290	5651	14097	5493	36037	7789	373	17877	88089	51725	29208	7976	1577	50581	8486	85999	337100	244244	2652	116766	74382	204915	335130	39829	937	117363	238567	80496	94661	10404	3906	51868	93681	130829	129476	15484	22357	9792	25097	46613	30190	37474	914	86224	106592	112194	138609	39747	4032	15763	47309	3967	27740	2443	1045	307	28202	8996	1892	32808	822	15013	4007
SMGC_345	7500741	9381104	7377363	5834678	6757644	1135400	128188	2501972	4753209	4584825	2211664	5188199	4781641	11712953	7834608	7908857	6198549	301463	7452770	19238139	6442064	3412780	27573309	5930850	16180443	26003378	7293751	551589	8345829	1397349	5536141	1473913	6808074	9114421	10168196	5245483	12607311	20998676	21385228	7730376	897060	984433	3847819	3209650	931165	9998423	2085504	767323	2556188	1588326	5466180	8040031	1420264	709240	343197	1658393	4906621	4899868	134092	220182	1479873	1079292	6486391	3021508	6048519	3985190
SMGC_35	22	47	27	52	234	2256	566	1283	354	302	297	159172	38085	41662	46	16	576	150	929	2272	39	21	770	2743	1664	3654	1989	143	16224	36306	12010	17079	14	22	186	1634	536	666	85	240	61	2840	311	198	1002	113	18392	27318	19519	23937	97	114	58	5338	287	2530	17	22	6	215	76	30	80	18	129	60
SMGC_357	203	42	28	714	395	1037	142	453	182	53	406	3329	1217	1010	95	40	2692	4308	1612	3447	184	124	3641	113839	3967	7775	443	35	520	678	561	305	129	59	395	540	574	249	492	692	145	626	345	262	218	80	1160	1123	889	906	560	130	1533	2155	583	448	50	51	16	203	127	60	286	34	372	69
SMGC_36	277338	383026	200195	177626	362547	72809	7058	146606	84425	94355	114675	206917	190480	315562	262250	241996	279013	18997	425735	1120101	125459	130405	1138919	363745	495399	1180224	495371	40829	877485	170439	773096	181968	170149	467137	290946	151502	453895	550253	1328741	415971	55272	61747	239390	199761	56501	416043	116883	49911	145566	90950	337588	544838	100550	85872	28033	99607	222325	259224	6084	9914	65892	48241	264244	153608	118229	115097
SMGC_362	77	153	217	37	209	2039	2257	2103	74	84	343	22033	5305	4877	101	83	1777	648	2542	13136	62	118	2752	20861	6476	16570	205	23	1907	3197	936	1189	33	109	535	10497	1729	2774	330	1473	456	29114	1787	1660	1500	141	5659	13257	7333	6823	118	141	2388	3647	152	1336	61	38	8	2276	174	35	108	73	98	143
SMGC_37	78	106	32	52	515	8491	5708	8616	37	221	6983	6613	1656	8839	122	36	21571	1506	9159	13904	276	221	6726	21851	10958	40864	139	8	2984	1432	1799	757	20	32	812	2745	1036	1228	457	1582	490	2302	1610	5545	7352	14	517	1217	492	761	166	392	4669	8692	2744	3097	11	92	54	684	1555	166	105	94	359	48
SMGC_375	8	11	44	24	30	2161	12132	360	0	0	266	185	50	32	10	26	519	249	1123	4247	0	0	22	30	30	156	26	4	170	328	104	184	2	4	279	2906	512	0	88	895	348	42282	1739	1594	0	4	236	1208	398	314	10	6	0	1975	62	322	2	30	6	1524	162	38	2	0	12	8
SMGC_38	560	147	520	358	607	2803	1143	3511	806	132	2424	62329	23131	18585	620	148	6156	1541	8455	47665	3553	101	6143	10572	10888	19886	3315	113	12494	30782	9745	12292	478	193	2621	11120	7486	6495	1103	2274	1068	7254	4056	2701	7942	423	70681	91678	79845	99409	3322	981	2820	20806	1813	9061	91	114	36	3074	1470	183	2524	102	4276	476
SMGC_383	190	14	28	438	5015	3700	255	19196	22	8	2250	301	652	380	867	18	1797	218	1632	4074	133	228	3529	1967	28183	8970	2732	76	4805	3420	19205	3853	282	94	6577	1148	3810	3688	901	631	178	530	859	964	1082	8	2152	216	629	822	114	62	746	636	442	18	14	6	4	148	197	30	42	4	46	38
SMGC_384	42	89	70	49	778	12966	13098	15515	76	411	32728	192141	14891	57205	1119	1907	99959	17402	45729	234222	25	47	2253	7901	3497	21953	76	4	1130	1459	640	454	32	50	375	1821	932	421	1199	13099	8504	13121	15298	5651	3026	76	238	1285	512	738	950	2150	17475	5622	1991	2276	58	416	188	2624	4117	1841	58	23	98	18
SMGC_385	28	46	88	4	8	102	1368	22	2	2	0	341	85	68	12	22	662	452	1486	4773	4	0	208	3360	551	4082	6	0	20	308	78	70	14	3	36	1690	308	12	130	1183	412	57121	1682	1870	0	0	38	180	144	187	4	0	0	406	8	152	2	20	8	648	52	6	20	10	14	36
SMGC_390	81	51	35	4374	57261	1532871	1447166	1934669	114	74	7545	14949	2978	4029	113	85	20130	1212	13241	13178	44	56	2119	2721	3259	9087	152	22	1556	1299	1117	628	86	90	1317	3386	3968	1387	359	1678	827	1422	1829	1292	11952	398	1210	6969	2478	9664	418	556	6362	567431	5423	8944	10	110	44	1208	744	217	59	10	193	14
SMGC_392	223	440	1039	172	2510	28150	9343	61177	74	94	6277	13495	4435	6620	290	268	18432	2112	21062	37842	69	228	5624	7313	11696	39190	1061	118	13689	87493	5484	4262	118	1230	11208	33736	24059	22465	1022	9022	2409	4507	4522	4066	4499	277	5882	62679	12472	9717	1549	31383	23012	52365	9024	25246	186	830	374	3780	8885	973	257	196	802	552
SMGC_395	56	254	74	39	217	5057	4560	2679	6	8	1546	783	181	244	219	209	3932	1261	5659	29028	27	60	2687	1283	5432	2284	88	8	630	820	401	552	26	174	156	1154	522	278	597	5933	1690	52224	4851	4181	48	184	1255	1950	1101	1282	40	118	1210	1221	94	420	28	132	24	8905	526	110	80	133	14	70
SMGC_416	51	136	28	499	6541	9190	2215	37777	14	4	2764	883	2706	320	721	26	1936	244	2744	7989	40	34	925	866	7379	2369	2086	26	2403	1615	9366	1936	289	122	6292	1478	4563	1536	858	537	214	353	721	548	1824	6	249	270	276	258	19	51	590	826	283	841	2	6	10	109	202	22	38	32	19	10
SMGC_418	28	12	51	16	26	46	3728	215	3	0	408	266	128	99	12	10	684	194	1248	3856	2	12	218	1767	418	4696	10	0	10	124	36	64	8	6	56	1280	290	318	246	1314	452	44707	1952	2207	2	2	176	570	284	500	6	6	2	232	2	110	2	42	10	2877	102	32	57	2	22	24
SMGC_434	12	0	14	101	108	840	28	365	4	2	4211	294	28	112	234	224	20111	2653	10961	36859	264	66	944	1784	2394	2421	161	10	1238	1834	1178	860	48	28	514	458	712	120	687	3339	1024	1906	1932	691	1877	134	1327	3466	1216	1950	27	28	586	2539	178	212	0	12	8	94	132	16	61	2	60	2
SMGC_436	198	40	287	165	177	538	3821	768	56	52	1806	3062	1870	802	133	78	6870	1062	5031	23896	45	38	641	3595	1078	2674	170	6	238	919	488	274	188	39	428	6223	1733	1756	526	2130	718	51589	3297	2973	1430	36	1750	3554	5500	8204	657	474	2400	19857	1370	21350	26	88	20	6088	335	120	737	45	202	629
SMGC_45	238	18	38	286	3048	3252	174	7386	44	2	3158	887	611	944	333	26	1317	422	1563	6225	304	394	7172	3065	19876	15278	1226	24	1364	924	8372	1059	225	56	3032	1375	2693	2827	701	678	129	592	484	450	306	8	3940	432	2711	1701	202	80	1266	724	456	656	22	30	10	182	222	18	90	4	70	6
SMGC_464	428	22	68	393	2691	2785	185	17466	22	2	5767	536	1466	800	17520	102	16558	2213	16405	24870	294	284	4852	2474	45770	13901	867	12	1879	1192	5820	1377	538	164	10129	2841	6481	11272	1428	1637	574	1091	2825	1801	703	8	1435	436	1661	2518	154	79	270	1765	470	646	16	8	14	114	358	62	64	6	106	26
SMGC_469	121	195	79	75	1136	8017	964	8464	104	196	10570	26814	3410	16371	355	138	29671	3437	12280	34667	364	186	14304	23836	21782	48308	35663	1855	345560	191891	123336	411714	21	97	768	2214	1351	1984	640	4933	3658	4213	5504	2230	13425	1003	102043	190342	68239	55033	825	1555	20335	80333	3197	9640	285	438	188	2259	4073	1976	185	318	325	118
SMGC_473	158	358	300	368	1284	13473	1819	10174	72	28	26908	5552	1876	3956	259	36	2397	560	2371	12569	4	22	4844	1199	580	5873	1011	21	4424	1727	3846	982	240	113	8364	5333	7095	17676	396	710	178	529	506	482	624	13	2773	151	3184	543	42	34	1484	743	243	262	24	43	56	175	310	37	140	34	386	202
SMGC_481	72	83	89	189	3387	2167	202	4083	20	13	850	431	214	472	324	26	2029	146	1661	2405	537	400	16070	5643	20536	36764	387	28	1157	464	1183	623	57	27	462	608	514	469	196	221	70	316	254	254	1898	24	1186	15020	279	239	226	168	4683	6454	757	904	44	50	4	77	84	25	52	92	90	41
SMGC_485	200	223	75	376	2541	5365	217	18858	28	4	4806	1080	796	1229	3230	122	5052	537	4774	11680	59	40	1081	618	1160	3200	684	24	1823	795	2196	908	105	146	2284	683	1909	5193	554	618	200	471	650	768	1104	104	5922	817	3003	1256	146	232	244	1090	204	754	101	98	6	69	325	46	172	89	143	70
SMGC_490	327	373	235	306	835	8811	488	5479	36	16	28803	2965	475	900	9340	128	10864	1763	11066	18537	466	489	15956	4813	59211	27442	505	16	3877	1453	2531	842	142	95	3721	5029	3277	8270	763	1292	391	1985	1735	1249	2746	22	1034	470	898	851	132	176	778	1394	1086	812	11	36	6	113	156	24	187	23	319	205
SMGC_506	47	72	18	1326	6507	6491	1842	13881	82	8	4028	1534	1833	651	206	76	3987	563	4790	14067	443	288	6447	8086	674995	18209	215	20	1487	621	1105	879	106	84	5920	2063	2823	2238	436	1227	780	2313	2480	1299	7770	32	578	953	1716	845	44	135	2800	2928	1580	4545	20	38	28	393	550	162	54	5	106	16
SMGC_507	12	29	31	24	60	342	108	734	196	164	658	27852	12074	5285	48	44	1122	965	1793	11072	38	10	373	549	686	811	499	42	4733	10931	3307	4184	32	55	383	5811	1673	1273	74	370	178	454	551	221	546	336	33174	69058	62930	81218	24	16	258	795	156	255	18	12	0	142	58	32	58	47	32	52
