#OTU ID	1-FH-PMA	1-UB-PMA	1-AC-PMA	1-PC-PMA	1-Abd-PMA	2-FH-PMA	2-UB-PMA	2-AC-PMA	2-PC-PMA	2-Abd-PMA	3-FH-PMA	3-UB-PMA	3-AC-PMA	3-PC-PMA	3-Abd-PMA	4-FH-PMA	4-UB-PMA	4-AC-PMA	4-PC-PMA	4-FA-PMA	5-FH-PMA	5-UB-PMA	5-AC-PMA	5-PC-PMA	5-FA-PMA	6-FH-PMA	6-UB-PMA	6-AC-PMA	6-PC-PMA	7-FH-PMA	7-UB-PMA	7-PC-PMA	7-FA-PMA	8-FH-PMA	8-UB-PMA	8-AC-PMA	8-PC-PMA	8-FA-PMA	8-Abd-PMA	9-FH-PMA	9-AC-PMA	9-PC-PMA	10-FH-PMA	10-UB-PMA	10-FA-PMA	10-Abd-PMA	11-FH-PMA	11-UB-PMA	11-AC-PMA	11-PC-PMA	11-FA-PMA	12-FH-PMA	12-UB-PMA	12-AC-PMA	12-PC-PMA	12-FA-PMA	12-Abd-PMA
SMGC_506	28	62	1659	4346	168	504	9138	5410	7151	3683	26	14	9	9714	2841	488	26	6318	2838	4375	324	946	2426	10874	474115	120	45	3707	4871	124	418	2137	3887	186	856	1520	6437	6550	2988	55	3812	1917	104	248	5968	7648	8	60	102	448	2131	63	12	182	4962	1900	6
SMGC_507	8	43	224	3525	73	8	358	695	451	486	37	70	4	27739	3416	90	74	2780	3200	1405	20	74	136	1099	850	314	118	6024	9353	53	92	1414	1916	20	228	92	742	1466	588	52	21114	71792	32	40	546	209	29	16	4	74	76	64	39	14	4717	289	38
SMGC_51	132	241	423	836	612	97	321	1269	3457	609	10	10	2	5992	3141	1066	550	7729	9616	8518	44	831	2151	4733	14379	80	80	1759	407	237	1907	19110	15376	540	5888	4533	182539	25478	13948	254	1682	4088	32	42	339	10	57	297	0	281	128	120	241	30	1183	320	199
SMGC_512	56	84	3240	7046	302	78	3233	11892	19360	11943	26	49	1757	17212	41873	620	812	22748	13450	9974	27	343	1454	9999	3599	112	94	5744	6406	48	332	6757	4399	250	7235	4645	8194	15672	11886	82	4698	23237	222	417	4304	2092	8	28	145	454	901	94	42	234	7912	1810	24
SMGC_515	74	31	598	635	50	128	702	930	1033	535	0	4	2691	431	584	2766	0	1335	1503	1852	26	121	274	1132	5275	1257	82	1979	3288	296	462	762	7749	485	1002	489	573	3133	3197	8	1720	342	28	28	118	14	4	8	6	100	280	40	2	180	649	725	6
SMGC_523	74	58	530	5668	590	4	374	373	2843	362	28	28	0	10438	731	306	158	1960	12210	4063	4	95	220	752	1346	46	22	1186	1088	83	560	7340	7071	268	2768	2880	111449	16844	10708	2	1188	4121	28	88	293	24	1	10	14	72	188	76	35	148	19566	1528	57
SMGC_528	78	127	1577	5955	351	51	1415	16535	18808	15422	23	256	39	25029	12494	261	129	9377	6051	5423	56	1620	4230	29776	15031	252	125	7347	3924	111	405	1425	2532	175	2528	1353	3863	5283	4459	128	2461	5700	1917	4712	3236	895	14	101	204	729	2665	63	63	122	4172	1054	17
SMGC_53	58	90	2213	2717	212	46	990	6784	5630	4058	12	44	2715	11960	5763	620	8	8191	9347	6430	18	154	1486	3904	4446	292	214	5399	11201	674	1662	10995	39163	9578	20159	4641	11633	23990	33688	158	4933	4532	3043	6754	5942	3686	2	78	142	628	726	72	28	296	4886	2900	24
SMGC_531	107	182	1198	4011	418	375	3240	2390	1802	2845	178	240	625	87306	46998	491	182	1374	1218	1834	32	594	516	4373	2447	1206	483	20853	32779	46	608	734	1090	91	316	392	5129	1597	424	158	65991	252923	822	1084	2478	1785	36	111	30	240	294	250	129	181	9148	2273	121
SMGC_538	236	92	1266	11504	290	296	3283	4661	20527	77490	2	2	3	1476	1042	1164	304	6318	30926	14293	44	576	988	44635	8287	201	16	1704	1651	225	833	18188	18270	2699	23539	7528	502559	93246	73342	18	400	1575	34	60	2018	1366	6	20	62	796	459	126	34	140	14916	724	81
